OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,comb,down_jer,5,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-7.7101380156818777e-05 
L,comb,down_jer,5,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00019741388678085059 
L,comb,down_jer,5,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00013485630915965885 
L,comb,down_jer,5,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00011045516293961555 
L,comb,down_jer,5,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-5.6088290875777602e-05 
L,comb,down_jer,5,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00019434776913840324 
L,comb,down_jer,5,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00022599645308218896 
L,comb,down_jer,5,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-9.0004570665769279e-05 
L,comb,down_jes,4,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0011757047614082694 
L,comb,down_jes,4,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0028058057650923729 
L,comb,down_jes,4,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.001896990230306983 
L,comb,down_jes,4,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00032812781864777207 
L,comb,down_jes,4,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0013510638382285833 
L,comb,down_jes,4,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00017439333896618336 
L,comb,down_jes,4,0.0,2.5,200.0,300.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))- -0.0012132384581491351 
L,comb,down_jes,4,0.0,2.5,300.0,600.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.017052514478564262 
L,comb,down_jes,4,0.0,2.5,600.0,1000.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.014955467544496059 
L,comb,down_jes,5,0.0,2.5,20.0,30.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00047028189874254167 
L,comb,down_jes,5,0.0,2.5,30.0,50.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.0011223222827538848 
L,comb,down_jes,5,0.0,2.5,50.0,70.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00075879611540585756 
L,comb,down_jes,5,0.0,2.5,70.0,100.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00013125113036949188 
L,comb,down_jes,5,0.0,2.5,100.0,140.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-0.00054042553529143333 
L,comb,down_jes,5,0.0,2.5,140.0,200.0,0.0,1.0,0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))-6.9757334131281823e-05 
