OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,mujets,down_type3,5,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.024740511639387515 
L,mujets,down_type3,5,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.041670037160750698 
L,mujets,down_type3,5,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.025539950122595457 
L,mujets,down_type3,5,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.021467926399087404 
L,mujets,down_type3,5,0.0,2.5,600,1000,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))-0.034811427698422562 
L,mujets,up,4,0.0,2.5,20,30,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.059796832501888275 
L,mujets,up,4,0.0,2.5,30,50,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.019170831888914108 
L,mujets,up,4,0.0,2.5,50,70,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.018440404906868935 
L,mujets,up,4,0.0,2.5,70,100,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.033448714762926102 
L,mujets,up,4,0.0,2.5,100,140,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.06348901242017746 
L,mujets,up,4,0.0,2.5,140,200,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.10567158460617065 
L,mujets,up,4,0.0,2.5,200,300,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.070227041840553284 
L,mujets,up,4,0.0,2.5,300,600,0,1,1.00948+3.0839e-06*log(x+19)*log(x+18)*(3-92.4852*log(x+18))+0.0617985799908638 
